"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"5488","jhy/jsoup",false,"2143","1","16","2215","Java","master","MIT License","https://jsoup.org","393","11065","100","5728","2009-12-19T01:29:58","2025-02-26T11:17:57","2025-02-26T11:18:02","1519","34","714","9","7421","35784","7083","[{""codeLines"":32611,""commentLines"":7053,""language"":""Java"",""blankLines"":6203},{""codeLines"":522,""commentLines"":23,""language"":""Maven"",""blankLines"":25},{""codeLines"":185,""commentLines"":0,""language"":""SVG"",""blankLines"":0},{""codeLines"":262,""commentLines"":0,""language"":""Markdown"",""blankLines"":62},{""codeLines"":96,""commentLines"":2,""language"":""YAML"",""blankLines"":8},{""codeLines"":28,""commentLines"":0,""language"":""XHTML"",""blankLines"":2},{""codeLines"":21,""commentLines"":0,""language"":""XML"",""blankLines"":2},{""codeLines"":1371,""commentLines"":0,""language"":""Text"",""blankLines"":601},{""codeLines"":688,""commentLines"":5,""language"":""HTML"",""blankLines"":518}]","2025-02-26T11:17:54","76b391e367645d367a6cdd4b48b107bcc2ee9ae1",false,false,false,false,"{""Java"":1814931,""HTML"":321160}","back-burner;bug;dependencies;discussion;duplicate;feature;fixed;fuzz;github_actions;improvement;java;needs-more-info;no-repro;not-a-bug;wont-fix","css;css-selectors;dom;html;java;java-html-parser;jsoup;parser;xml;xpath"
"6154","antlr/antlr4",false,"9388","2","31","3331","Java","dev","BSD 3-Clause New or Revised License","http://antlr.org","371","17552","356","70202","2010-02-04T01:36:28","2025-02-08T05:59:57","2025-02-08T06:00:04","2335","838","2120","150","35983","176756","65966","[{""codeLines"":328,""commentLines"":12,""language"":""YAML"",""blankLines"":59},{""codeLines"":11027,""commentLines"":1364,""language"":""C++"",""blankLines"":2534},{""codeLines"":767,""commentLines"":71,""language"":""CMake"",""blankLines"":152},{""codeLines"":122,""commentLines"":0,""language"":""Velocity Template Language"",""blankLines"":24},{""codeLines"":2692,""commentLines"":1043,""language"":""Assembly"",""blankLines"":4},{""codeLines"":15,""commentLines"":0,""language"":""Dockerfile"",""blankLines"":6},{""codeLines"":49992,""commentLines"":16398,""language"":""Java"",""blankLines"":9328},{""codeLines"":3569,""commentLines"":61,""language"":""XML"",""blankLines"":23},{""codeLines"":5580,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":9091,""commentLines"":0,""language"":""Text"",""blankLines"":2485},{""codeLines"":15,""commentLines"":0,""language"":""INI"",""blankLines"":3},{""codeLines"":12415,""commentLines"":9288,""language"":""Swift"",""blankLines"":3358},{""codeLines"":19,""commentLines"":0,""language"":""TOML"",""blankLines"":4},{""codeLines"":956,""commentLines"":67,""language"":""Maven"",""blankLines"":43},{""codeLines"":11,""commentLines"":0,""language"":""AsciiDoc"",""blankLines"":6},{""codeLines"":8478,""commentLines"":4388,""language"":""JavaScript"",""blankLines"":1293},{""codeLines"":93,""commentLines"":68,""language"":""Bourne Shell"",""blankLines"":40},{""codeLines"":12,""commentLines"":0,""language"":""make"",""blankLines"":4},{""codeLines"":5026,""commentLines"":7115,""language"":""C/C++ Header"",""blankLines"":2454},{""codeLines"":3,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":55,""commentLines"":0,""language"":""Smalltalk"",""blankLines"":9},{""codeLines"":5786,""commentLines"":1564,""language"":""ANTLR Grammar"",""blankLines"":1289},{""codeLines"":9664,""commentLines"":3499,""language"":""Go"",""blankLines"":2241},{""codeLines"":550,""commentLines"":4,""language"":""TypeScript"",""blankLines"":136},{""codeLines"":134,""commentLines"":19,""language"":""DOS Batch"",""blankLines"":34},{""codeLines"":9859,""commentLines"":6008,""language"":""Dart"",""blankLines"":2072},{""codeLines"":775,""commentLines"":0,""language"":""C"",""blankLines"":2},{""codeLines"":18106,""commentLines"":10579,""language"":""C#"",""blankLines"":2463},{""codeLines"":409,""commentLines"":119,""language"":""Objective-C++"",""blankLines"":89},{""codeLines"":15173,""commentLines"":4200,""language"":""Python"",""blankLines"":3775},{""codeLines"":100,""commentLines"":14,""language"":""C# Generated"",""blankLines"":21},{""codeLines"":117,""commentLines"":3,""language"":""Visual Studio Solution"",""blankLines"":3},{""codeLines"":119,""commentLines"":6,""language"":""MSBuild script"",""blankLines"":13},{""codeLines"":5698,""commentLines"":76,""language"":""Markdown"",""blankLines"":2016}]","2025-02-08T05:59:57","dee6265e1be89962e6e3d37b26a8cadeba2cc346",false,false,false,false,"{""Java"":2437464,""C#"":1043537,""C++"":1028139,""Python"":951378,""Swift"":873956,""Dart"":587430,""JavaScript"":500603,""Go"":457229,""ANTLR"":112525,""GAP"":109926,""Assembly"":92577,""CMake"":35747,""Objective-C++"":28237,""C"":17187,""Shell"":8062,""Batchfile"":6675,""Smalltalk"":2453,""TypeScript"":804,""Makefile"":688,""Dockerfile"":684,""Objective-C"":408}","actions;atn-analysis;code-gen;command-line-options;comp:build;comp:doc;comp:maven-plugin;comp:performance;comp:runtime;comp:testing;comp:tool;continuous-integration;cross-platform-issue;error-handling;grammars;lexers;options;parsers;status:cannot-reproduce;status:duplicate;status:fixed;status:invalid;status:lack-of-response;status:not-fixing;status:pull-request;status:wrong-repo;target:cpp;target:csharp;target:dart;target:go;target:java;target:javascript;target:php;target:python2;target:python3;target:swift;target:typescript;threading;trees-contexts;type:bug;type:cleanup;type:feature;type:improvement;type:question;type:suggestion;unicode","antlr;antlr4;cpp;csharp;dart;golang;grammar;java;javascript;language-recognition;parse;parser-generator;parsing;php;python;swift"
"6155","tootallnate/java-websocket",false,"1188","5","19","2590","Java","master","MIT License","http://tootallnate.github.io/Java-WebSocket","382","10596","71","4228","2010-01-20T11:33:04","2025-02-17T08:49:17","2025-02-18T06:16:34","1051","36","400","7","3033","28733","7379","[{""codeLines"":37,""commentLines"":0,""language"":""Gradle"",""blankLines"":8},{""codeLines"":13757,""commentLines"":7359,""language"":""Java"",""blankLines"":2720},{""codeLines"":24,""commentLines"":0,""language"":""Cucumber"",""blankLines"":2},{""codeLines"":9470,""commentLines"":0,""language"":""HTML"",""blankLines"":87},{""codeLines"":10,""commentLines"":2,""language"":""Properties"",""blankLines"":1},{""codeLines"":306,""commentLines"":3,""language"":""Maven"",""blankLines"":6},{""codeLines"":951,""commentLines"":0,""language"":""XML"",""blankLines"":2},{""codeLines"":79,""commentLines"":2,""language"":""YAML"",""blankLines"":8},{""codeLines"":462,""commentLines"":13,""language"":""Markdown"",""blankLines"":199},{""codeLines"":3637,""commentLines"":0,""language"":""JSON"",""blankLines"":0}]","2025-02-17T08:49:16","c69b2981755334a7ea4e002e333f655d369edefa",true,false,false,false,"{""Java"":834004,""HTML"":673666,""Gherkin"":1433}","android;announcement;breaking changes;bug;build;cannot-reproduce;client;discussion;documentation;duplicate;missing-information;needs-investigation;new feature;performance;question;refactor;server;stale;test;unclear;up-for-grabs;waiting-for-feedback;wanted;works-for-me;wss",""
"7343","dropwizard/metrics",false,"3998","16","125","1814","Java","release/4.2.x","Apache License 2.0","https://metrics.dropwizard.io","364","7843","205","20670","2010-02-26T07:44:42","2025-02-24T07:17:36","2025-02-24T09:15:37","657","2","4013","7","9042","43265","6621","[{""codeLines"":12,""commentLines"":2,""language"":""Ruby"",""blankLines"":2},{""codeLines"":131,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":15},{""codeLines"":33115,""commentLines"":4942,""language"":""Java"",""blankLines"":7358},{""codeLines"":1526,""commentLines"":676,""language"":""reStructuredText"",""blankLines"":681},{""codeLines"":269,""commentLines"":0,""language"":""HTML"",""blankLines"":21},{""codeLines"":58,""commentLines"":172,""language"":""Python"",""blankLines"":80},{""codeLines"":305,""commentLines"":0,""language"":""CSS"",""blankLines"":0},{""codeLines"":11,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":111,""commentLines"":6,""language"":""XML"",""blankLines"":13},{""codeLines"":3186,""commentLines"":619,""language"":""Less"",""blankLines"":531},{""codeLines"":3938,""commentLines"":14,""language"":""Maven"",""blankLines"":222},{""codeLines"":223,""commentLines"":50,""language"":""Bourne Shell"",""blankLines"":40},{""codeLines"":1,""commentLines"":0,""language"":""Text"",""blankLines"":0},{""codeLines"":185,""commentLines"":119,""language"":""YAML"",""blankLines"":20},{""codeLines"":1,""commentLines"":16,""language"":""Properties"",""blankLines"":0},{""codeLines"":65,""commentLines"":0,""language"":""Markdown"",""blankLines"":33},{""codeLines"":128,""commentLines"":5,""language"":""make"",""blankLines"":26}]","2025-02-24T07:16:10","09757dabe63084c3a13da76f78c54fb07752d095",false,false,false,false,"{""Java"":1640653,""Shell"":1659,""Python"":351}","blocked;bug;dependencies;documentation;feature;github_actions;help wanted;improvement;java;question;ready to merge;security;stale;task;unable to merge;upgrade;wait for feedback","dropwizard-metrics;java;metrics;metrics-library"
"11746","clojure/clojure",false,"3550","62","0","1469","Java","master",,"https://clojure.org","681","10566","150","18176","2010-06-29T08:03:33","2025-02-25T09:05:01","2025-02-26T05:33:51","0","0","97","0","13140","80125","14810","[{""codeLines"":81,""commentLines"":0,""language"":""XML"",""blankLines"":0},{""codeLines"":327,""commentLines"":10,""language"":""Maven"",""blankLines"":11},{""codeLines"":2719,""commentLines"":1,""language"":""Markdown"",""blankLines"":955},{""codeLines"":32416,""commentLines"":2493,""language"":""Clojure"",""blankLines"":5082},{""codeLines"":7,""commentLines"":0,""language"":""Bourne Shell"",""blankLines"":1},{""codeLines"":43177,""commentLines"":12219,""language"":""Java"",""blankLines"":6820},{""codeLines"":108,""commentLines"":0,""language"":""YAML"",""blankLines"":17},{""codeLines"":1,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":280,""commentLines"":18,""language"":""HTML"",""blankLines"":63},{""codeLines"":207,""commentLines"":0,""language"":""Text"",""blankLines"":45},{""codeLines"":191,""commentLines"":6,""language"":""Ant"",""blankLines"":18},{""codeLines"":611,""commentLines"":63,""language"":""ClojureC"",""blankLines"":128}]","2024-12-10T07:57:29","fb22fd778a272b034684a4ee94509552b46ee8a9",false,false,false,false,"{""Java"":2052995,""Clojure"":1497252,""HTML"":16136,""Shell"":276}","",""
"16087","arduino/arduino",false,"7376","7","37","7009","Java","master","Other","https://www.arduino.cc/en/software","1100","14138","250","1390211","2010-09-17T07:10:36","2024-10-18T04:32:19","2024-10-18T04:32:26","9848","644","1507","108","93217","188709","128803","[{""codeLines"":95,""commentLines"":2,""language"":""Bourne Again Shell"",""blankLines"":34},{""codeLines"":1421,""commentLines"":13,""language"":""SVG"",""blankLines"":10},{""codeLines"":1927,""commentLines"":22,""language"":""TNSDL"",""blankLines"":228},{""codeLines"":91,""commentLines"":45,""language"":""Perl"",""blankLines"":33},{""codeLines"":101112,""commentLines"":44834,""language"":""PO File"",""blankLines"":40062},{""codeLines"":1330,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":1913,""commentLines"":19,""language"":""XML"",""blankLines"":40},{""codeLines"":279,""commentLines"":14,""language"":""AsciiDoc"",""blankLines"":101},{""codeLines"":14,""commentLines"":0,""language"":""HTML"",""blankLines"":2},{""codeLines"":8863,""commentLines"":2781,""language"":""Python"",""blankLines"":1708},{""codeLines"":1296,""commentLines"":798,""language"":""Arduino Sketch"",""blankLines"":561},{""codeLines"":3594,""commentLines"":1824,""language"":""C++"",""blankLines"":905},{""codeLines"":1173,""commentLines"":115,""language"":""Ant"",""blankLines"":244},{""codeLines"":27010,""commentLines"":10417,""language"":""Java"",""blankLines"":6755},{""codeLines"":517,""commentLines"":157,""language"":""Bourne Shell"",""blankLines"":163},{""codeLines"":3075,""commentLines"":1666,""language"":""C/C++ Header"",""blankLines"":593},{""codeLines"":30,""commentLines"":0,""language"":""YAML"",""blankLines"":4},{""codeLines"":320,""commentLines"":1,""language"":""Markdown"",""blankLines"":110},{""codeLines"":31,""commentLines"":8,""language"":""JavaScript"",""blankLines"":7},{""codeLines"":679,""commentLines"":0,""language"":""INI"",""blankLines"":3},{""codeLines"":6484,""commentLines"":0,""language"":""Text"",""blankLines"":1580},{""codeLines"":27455,""commentLines"":66087,""language"":""Properties"",""blankLines"":40074}]","2024-10-18T04:32:19","3278173ef810935e07808deed58783c1bc7ca4cf",true,false,false,false,"{""Java"":1513011,""Python"":638851,""Shell"":9960,""Perl"":7263,""JavaScript"":1469}","32bit deprecation;accessibility;architecture: avr;architecture: sam;architecture: samd;arduino-builder;arduino-cli;board: arduino due;board: arduino robot;c++14;component: avrdude 6.3;component: board/lib manager;component: bootloader;component: cli;component: compilation;component: core;component: documentation;component: firmware;component: hardware;component: hardwareserial;component: ide;component: ide serial monitor;component: ide user interface;component: preprocessor;component: proxy;component: toolchain;component: uploading;component: usb device;component: website;drivers;editor-refactor;examples: arduinoisp;feature request;help wanted;ide 1.9.x beta;in progress;java 9+;jmdns;liblistserial;library: bridge;library: eeprom;library: ethernet;library: hid;library: liquidcrystal;library: other;library: scheduler;library: sd;library: servo;library: softwareserial;library: spi;library: stepper;library: tft;library: wifi;library: wire;localization;on hold;openjdk;os: linux;os: linux arm;os: osx;os: windows;os: windows xp;package_index_incident;print and stream class;question;security;serialplotter;theme;type: bug;type: duplicate;type: improvement;type: invalid;type: regression;type: wontfix;type: works for me;uncategorized;upstream notified;usb: cdc serial;waiting for feedback;windows store app","arduino;ide"
"16088","rabbitmq/rabbitmq-tutorials",false,"1567","4","0","3571","Java","main","Apache License 2.0","http://www.rabbitmq.com/getstarted.html","269","6717","129","5352","2010-09-21T11:41:26","2025-02-26T05:27:33","2025-02-26T05:27:37","98","5","435","0","4250","17322","1347","[{""codeLines"":267,""commentLines"":106,""language"":""Swift"",""blankLines"":64},{""codeLines"":345,""commentLines"":0,""language"":""Erlang"",""blankLines"":75},{""codeLines"":1205,""commentLines"":10,""language"":""Rust"",""blankLines"":227},{""codeLines"":407,""commentLines"":5,""language"":""Perl"",""blankLines"":133},{""codeLines"":677,""commentLines"":250,""language"":""Bourne Shell"",""blankLines"":135},{""codeLines"":353,""commentLines"":0,""language"":""Maven"",""blankLines"":52},{""codeLines"":59,""commentLines"":0,""language"":""Gradle"",""blankLines"":14},{""codeLines"":238,""commentLines"":16,""language"":""Ruby"",""blankLines"":82},{""codeLines"":106,""commentLines"":30,""language"":""make"",""blankLines"":19},{""codeLines"":22,""commentLines"":28,""language"":""C/C++ Header"",""blankLines"":32},{""codeLines"":489,""commentLines"":0,""language"":""JavaScript"",""blankLines"":93},{""codeLines"":367,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":89},{""codeLines"":351,""commentLines"":62,""language"":""Haskell"",""blankLines"":93},{""codeLines"":173,""commentLines"":0,""language"":""Text"",""blankLines"":34},{""codeLines"":12,""commentLines"":32,""language"":""Properties"",""blankLines"":0},{""codeLines"":27,""commentLines"":1,""language"":""TOML"",""blankLines"":4},{""codeLines"":701,""commentLines"":16,""language"":""C#"",""blankLines"":163},{""codeLines"":267,""commentLines"":1,""language"":""Clojure"",""blankLines"":38},{""codeLines"":1273,""commentLines"":10,""language"":""XML"",""blankLines"":160},{""codeLines"":1047,""commentLines"":3,""language"":""Go"",""blankLines"":182},{""codeLines"":122,""commentLines"":1,""language"":""Visual Studio Solution"",""blankLines"":2},{""codeLines"":385,""commentLines"":76,""language"":""Julia"",""blankLines"":70},{""codeLines"":123,""commentLines"":0,""language"":""MSBuild script"",""blankLines"":33},{""codeLines"":296,""commentLines"":89,""language"":""Objective-C"",""blankLines"":130},{""codeLines"":717,""commentLines"":18,""language"":""Python"",""blankLines"":181},{""codeLines"":355,""commentLines"":2,""language"":""Dart"",""blankLines"":58},{""codeLines"":469,""commentLines"":25,""language"":""Kotlin"",""blankLines"":122},{""codeLines"":27,""commentLines"":0,""language"":""CMake"",""blankLines"":13},{""codeLines"":1769,""commentLines"":457,""language"":""Java"",""blankLines"":430},{""codeLines"":1360,""commentLines"":0,""language"":""Markdown"",""blankLines"":773},{""codeLines"":6,""commentLines"":0,""language"":""Dockerfile"",""blankLines"":1},{""codeLines"":69,""commentLines"":2,""language"":""YAML"",""blankLines"":4},{""codeLines"":662,""commentLines"":0,""language"":""JSON"",""blankLines"":3},{""codeLines"":1114,""commentLines"":68,""language"":""PHP"",""blankLines"":396},{""codeLines"":273,""commentLines"":31,""language"":""Elixir"",""blankLines"":75},{""codeLines"":431,""commentLines"":3,""language"":""Scala"",""blankLines"":76},{""codeLines"":245,""commentLines"":2,""language"":""Lisp"",""blankLines"":64},{""codeLines"":513,""commentLines"":1,""language"":""C++"",""blankLines"":130}]","2025-02-26T05:27:32","8b3d485ff8e36665a66ddded5b9320f614749450",false,false,false,false,"{""Java"":87007,""Rust"":44359,""PHP"":37194,""C#"":28982,""Go"":25879,""Python"":25455,""C++"":21849,""Objective-C"":20582,""Kotlin"":20296,""Swift"":17938,""Erlang"":17522,""Julia"":16726,""JavaScript"":15828,""Scala"":15766,""Shell"":15594,""Haskell"":14634,""Dart"":12121,""Elixir"":10859,""Clojure"":10096,""Perl"":9823,""Ruby"":7789,""Makefile"":4070,""CMake"":1201,""PowerShell"":834,""Dockerfile"":269,""Batchfile"":68}","bug;dependencies;doc;duplicate;effort-high;effort-low;effort-medium;effort-tiny;enhancement;help-wanted;invalid;java;javascript;mailing list material;not-enough-information;pkg-deb;pkg-osx;pkg-rpm;pkg-windows;rust;usability;wontfix","rabbitmq;tutorials"
"19037","rest-assured/rest-assured",false,"2320","19","0","1882","Java","master","Apache License 2.0",,"325","6901","149","11312","2010-10-21T08:35:43","2025-02-14T01:45:30","2025-02-14T04:48:26","1455","549","354","23","11878","58032","30437","[{""codeLines"":3410,""commentLines"":555,""language"":""Maven"",""blankLines"":153},{""codeLines"":4,""commentLines"":15,""language"":""DTD"",""blankLines"":0},{""codeLines"":912,""commentLines"":340,""language"":""XML"",""blankLines"":29},{""codeLines"":1858,""commentLines"":296,""language"":""Scala"",""blankLines"":305},{""codeLines"":6717,""commentLines"":1624,""language"":""Groovy"",""blankLines"":1528},{""codeLines"":62,""commentLines"":11,""language"":""YAML"",""blankLines"":7},{""codeLines"":70,""commentLines"":1,""language"":""Markdown"",""blankLines"":27},{""codeLines"":74,""commentLines"":0,""language"":""Bourne Shell"",""blankLines"":10},{""codeLines"":60,""commentLines"":60,""language"":""XSD"",""blankLines"":4},{""codeLines"":282,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":1952,""commentLines"":0,""language"":""Text"",""blankLines"":139},{""codeLines"":637,""commentLines"":157,""language"":""Kotlin"",""blankLines"":119},{""codeLines"":16,""commentLines"":63,""language"":""Properties"",""blankLines"":6},{""codeLines"":41978,""commentLines"":27315,""language"":""Java"",""blankLines"":9551}]","2025-02-14T01:45:30","044671e2b0847d11ef230db0cfdf7c05a0d3d917",true,false,false,false,"{""Java"":2248793,""Groovy"":351737,""Kotlin"":24484,""Scala"":14195,""Shell"":2842}","1.2.3;1.7;2.0;auto-migrated;bug;dependencies;duplicate;enhancement;github_actions;imported;invalid;java;milestone-release1.0;priority-critical;priority-high;priority-low;priority-medium;type-defect;type-enhancement;type-task;wontfix","groovy;http;java;json;kotlin;rest;rest-api;test;test-automation;xml"
"32818","asynchttpclient/async-http-client",false,"4258","14","5","1593","Java","main","Other",,"353","6318","174","19090","2011-03-07T01:41:46","2025-02-21T06:42:02","2025-02-22T06:36:09","1328","96","721","17","6553","30955","12026","[{""codeLines"":29601,""commentLines"":11903,""language"":""Java"",""blankLines"":6311},{""codeLines"":140,""commentLines"":6,""language"":""YAML"",""blankLines"":21},{""codeLines"":12,""commentLines"":0,""language"":""XML"",""blankLines"":2},{""codeLines"":220,""commentLines"":62,""language"":""Bourne Shell"",""blankLines"":34},{""codeLines"":214,""commentLines"":0,""language"":""Markdown"",""blankLines"":78},{""codeLines"":33,""commentLines"":0,""language"":""Text"",""blankLines"":9},{""codeLines"":521,""commentLines"":39,""language"":""Maven"",""blankLines"":63},{""codeLines"":61,""commentLines"":16,""language"":""Properties"",""blankLines"":0},{""codeLines"":153,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":35}]","2025-02-17T04:58:39","600520c9810052c1c80925ed6041795a48e22a18",true,false,false,false,"{""Java"":1830241,""Python"":1209,""Shell"":254}","ahc1 (eol);being-investigated;contributions welcome!;defect;dependencies;documentation;enhancement;fix being implemented;github_actions;great examples;grizzly;java;netty;problem identified;refactor;rfc;waiting for maintainer;waiting for user","ahc;async;asynchttpclient;http-client;java;netty"
"72070","zxing/zxing",false,"3823","6","31","9375","Java","master","Apache License 2.0",,"1658","33047","125","242772","2011-10-12T02:07:27","2025-02-10T02:22:04","2025-02-11T07:10:07","1296","6","504","6","9242","169316","39781","[{""codeLines"":5662,""commentLines"":885,""language"":""XML"",""blankLines"":388},{""codeLines"":360,""commentLines"":80,""language"":""JavaScript"",""blankLines"":7},{""codeLines"":217,""commentLines"":0,""language"":""Markdown"",""blankLines"":79},{""codeLines"":741,""commentLines"":108,""language"":""CSS"",""blankLines"":14},{""codeLines"":716,""commentLines"":0,""language"":""Text"",""blankLines"":65},{""codeLines"":112483,""commentLines"":20880,""language"":""HTML"",""blankLines"":329},{""codeLines"":8,""commentLines"":0,""language"":""INI"",""blankLines"":1},{""codeLines"":150,""commentLines"":34,""language"":""YAML"",""blankLines"":41},{""codeLines"":15,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":1118,""commentLines"":114,""language"":""Maven"",""blankLines"":82},{""codeLines"":229,""commentLines"":0,""language"":""SVG"",""blankLines"":0},{""codeLines"":47617,""commentLines"":17680,""language"":""Java"",""blankLines"":8236}]","2025-02-10T02:22:04","2a779a95863caebe2e72459bc3752287c2a96ead",true,false,false,false,"{""Java"":2615956,""HTML"":98646,""CSS"":3419}","android;bug;dependencies;enhancement;github_actions;java","android;barcode;barcode-scanner;datamatrix;java;qr-code;upc;zxing"
